IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.200.145,8080,8080,false,SIN,Asia Pacific,Singapore,341,0.00
8.222.174.108,2083,2083,true,SIN,Asia Pacific,Singapore,276,0.00
8.222.238.141,2053,2053,true,SIN,Asia Pacific,Singapore,279,0.00
47.236.114.23,8080,8080,false,SIN,Asia Pacific,Singapore,344,0.00
8.219.97.179,2096,2096,true,SIN,Asia Pacific,Singapore,281,0.00
47.236.130.95,8080,8080,false,SIN,Asia Pacific,Singapore,321,0.00
8.219.213.133,2086,2086,false,SIN,Asia Pacific,Singapore,317,0.00
8.222.154.50,8880,8880,false,SIN,Asia Pacific,Singapore,277,0.00
8.222.249.190,80,80,false,SIN,Asia Pacific,Singapore,280,0.00
8.219.40.255,8880,8880,false,SIN,Asia Pacific,Singapore,277,0.00
8.222.221.90,80,0,false,SIN,Asia Pacific,Singapore,274,0.00
8.222.155.242,2086,2086,false,SIN,Asia Pacific,Singapore,277,0.00
8.222.167.147,2052,2052,false,SIN,Asia Pacific,Singapore,277,0.00
47.245.37.12,8080,8080,false,NRT,Asia Pacific,Tokyo,63,0.00
8.222.227.191,80,80,false,SIN,Asia Pacific,Singapore,285,0.00
8.219.213.133,2082,2082,false,SIN,Asia Pacific,Singapore,324,0.00
47.236.123.133,80,80,false,SIN,Asia Pacific,Singapore,326,0.00
8.219.200.145,2052,2052,false,SIN,Asia Pacific,Singapore,327,0.00
47.236.144.208,2053,2053,true,SIN,Asia Pacific,Singapore,329,0.00
47.236.114.167,2095,2095,false,SIN,Asia Pacific,Singapore,321,0.00
47.236.83.196,8443,8443,true,SIN,Asia Pacific,Singapore,320,0.00
8.222.168.234,8080,8080,false,SIN,Asia Pacific,Singapore,279,0.00
8.222.221.90,2087,2087,true,SIN,Asia Pacific,Singapore,277,0.00
47.236.82.218,2052,2052,false,SIN,Asia Pacific,Singapore,314,0.00
47.236.144.196,2052,2052,false,SIN,Asia Pacific,Singapore,328,0.00
47.236.104.98,8080,8080,false,SIN,Asia Pacific,Singapore,316,0.00
47.236.4.129,8880,8880,false,SIN,Asia Pacific,Singapore,318,0.00
8.222.152.165,80,80,false,SIN,Asia Pacific,Singapore,276,0.00
8.219.114.201,8080,8080,false,SIN,Asia Pacific,Singapore,279,0.00
47.236.87.206,8443,8443,true,SIN,Asia Pacific,Singapore,316,0.00
8.222.238.141,2087,2087,true,SIN,Asia Pacific,Singapore,281,0.00
8.222.187.107,2053,2053,true,SIN,Asia Pacific,Singapore,276,0.00
8.222.229.22,2095,2095,false,SIN,Asia Pacific,Singapore,285,0.00
47.245.84.155,2087,2087,true,SIN,Asia Pacific,Singapore,334,0.00
8.222.140.185,2095,2095,false,SIN,Asia Pacific,Singapore,267,0.00
8.222.137.166,2086,2086,false,SIN,Asia Pacific,Singapore,281,0.00
8.219.42.72,2083,2083,true,SIN,Asia Pacific,Singapore,279,0.00
8.219.152.195,2087,2087,true,SIN,Asia Pacific,Singapore,317,0.00
47.236.65.177,2082,2082,false,SIN,Asia Pacific,Singapore,335,0.00
